"Passengers (All U.S. Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,10,"35,77,528","3,19,860","38,97,388"
2012,11,"33,64,273","2,99,420","36,63,693"
2012,12,"31,85,267","3,56,963","35,42,230"
2012,TOTAL,"4,09,37,424","41,69,685","4,51,07,109"
2013,1,"29,87,573","3,07,622","32,95,195"
2013,2,"28,49,543","2,90,739","31,40,282"
2013,3,"35,23,830","3,65,731","38,89,561"
2013,4,"33,89,486","3,41,123","37,30,609"
2013,5,"35,91,908","3,89,889","39,81,797"
2013,6,"35,69,294","4,36,420","40,05,714"
2013,7,"36,26,195","4,38,573","40,64,768"
2013,8,"35,47,523","3,97,734","39,45,257"
2013,9,"32,06,279","3,14,390","35,20,669"
2013,10,"35,16,660","3,22,456","38,39,116"
2013,11,"31,68,551","3,22,900","34,91,451"
2013,12,"33,51,742","3,84,675","37,36,417"
2013,TOTAL,"4,03,28,584","43,12,252","4,46,40,836"
2014,1,"28,83,013","3,45,301","32,28,314"
2014,2,"27,41,403","3,11,545","30,52,948"
2014,3,"36,37,570","3,97,033","40,34,603"
2014,4,"35,19,927","3,66,582","38,86,509"
2014,5,"37,32,980","4,17,160","41,50,140"
2014,6,"36,38,862","4,66,521","41,05,383"
2014,7,"37,76,858","4,71,539","42,48,397"
2014,8,"36,51,912","4,36,821","40,88,733"
2014,9,"33,55,828","3,50,336","37,06,164"
2014,10,"36,97,108","3,37,796","40,34,904"
2014,11,"33,37,130","3,21,856","36,58,986"
2014,12,"33,58,901","3,87,458","37,46,359"
2014,TOTAL,"4,13,31,492","46,09,948","4,59,41,440"
2015,1,"30,89,174","3,66,562","34,55,736"
2015,2,"29,37,697","3,22,816","32,60,513"
2015,3,"37,42,543","3,82,598","41,25,141"
2015,4,"36,47,022","3,70,542","40,17,564"
2015,5,"38,88,355","4,03,650","42,92,005"
2015,6,"38,59,114","4,44,501","43,03,615"
2015,7,"39,96,062","4,59,546","44,55,608"
2015,8,"38,75,938","4,25,908","43,01,846"
2015,9,"36,33,240","3,44,547","39,77,787"
2015,10,"39,59,331","3,47,029","43,06,360"
2015,11,"37,04,202","3,29,453","40,33,655"
2015,12,"35,76,571","3,88,951","39,65,522"
2015,TOTAL,"4,39,09,249","45,86,103","4,84,95,352"
2016,1,"32,99,390","3,75,687","36,75,077"
2016,2,"32,23,435","3,43,195","35,66,630"
2016,3,"37,71,750","3,94,353","41,66,103"
2016,4,"37,60,315","3,76,501","41,36,816"
2016,5,"40,99,226","4,15,712","45,14,938"
2016,6,"39,73,767","4,51,170","44,24,937"
2016,7,"39,63,425","4,74,195","44,37,620"
2016,8,"37,47,620","4,12,282","41,59,902"
2016,9,"36,96,180","3,43,841","40,40,021"
2016,10,"39,66,520","3,40,018","43,06,538"
2016,11,"37,86,460","3,15,264","41,01,724"
