Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2021,2,"3,50,175","12,210","3,62,385",Philadelphia
2021,3,"5,59,006","24,361","5,83,367",Philadelphia
2021,4,"6,43,360","28,923","6,72,283",Philadelphia
2021,5,"7,78,250","34,302","8,12,552",Philadelphia
2021,6,"9,80,754","49,682","10,30,436",Philadelphia
2021,7,"10,70,797","58,282","11,29,079",Philadelphia
2021,8,"10,00,394","46,600","10,46,994",Philadelphia
2021,9,"8,46,417","30,892","8,77,309",Philadelphia
2021,10,"9,55,164","33,313","9,88,477",Philadelphia
2021,11,"8,71,268","40,765","9,12,033",Philadelphia
2021,12,"8,66,783","58,923","9,25,706",Philadelphia
2021,TOTAL,"92,73,074","4,31,028","97,04,102",Philadelphia
2022,1,"6,08,389","38,473","6,46,862",Philadelphia
2022,2,"7,00,876","45,822","7,46,698",Philadelphia
2022,3,"8,91,539","81,141","9,72,680",Philadelphia
2022,4,"9,40,930","1,11,622","10,52,552",Philadelphia
2022,5,"9,75,070","1,22,040","10,97,110",Philadelphia
2022,6,"10,07,312","1,49,138","11,56,450",Philadelphia
2022,7,"10,39,819","1,44,859","11,84,678",Philadelphia
2022,8,"9,98,047","1,30,477","11,28,524",Philadelphia
2022,9,"8,99,950","1,08,966","10,08,916",Philadelphia
2022,10,"10,34,284","97,256","11,31,540",Philadelphia
2022,11,"8,99,126","84,116","9,83,242",Philadelphia
2022,12,"8,76,885","1,06,881","9,83,766",Philadelphia
2022,TOTAL,"1,08,72,227","12,20,791","1,20,93,018",Philadelphia
2023,1,"7,96,717","87,473","8,84,190",Philadelphia
2023,2,"7,60,997","84,812","8,45,809",Philadelphia
2023,3,"9,48,031","1,20,104","10,68,135",Philadelphia
2023,4,"9,54,348","1,26,760","10,81,108",Philadelphia
2023,5,"9,83,518","1,29,289","11,12,807",Philadelphia
2023,6,"10,88,304","1,54,287","12,42,591",Philadelphia
2023,7,"11,33,394","1,40,243","12,73,637",Philadelphia
2023,TOTAL,"66,65,309","8,42,968","75,08,277",Philadelphia
2002,10,"9,16,207","56,183","9,72,390",Seattle
2002,11,"8,54,178","52,664","9,06,842",Seattle
2002,12,"10,27,647","59,321","10,86,968",Seattle
2002,TOTAL,"1,18,78,842","7,12,878","1,25,91,720",Seattle
2003,1,"8,10,326","57,406","8,67,732",Seattle
2003,2,"7,74,837","56,622","8,31,459",Seattle
2003,3,"9,04,072","62,966","9,67,038",Seattle
2003,4,"9,10,822","52,724","9,63,546",Seattle
2003,5,"9,92,129","57,467","10,49,596",Seattle
2003,6,"11,54,312","62,368","12,16,680",Seattle
2003,7,"12,84,843","70,021","13,54,864",Seattle
2003,8,"13,14,408","73,780","13,88,188",Seattle
2003,9,"9,87,492","60,622","10,48,114",Seattle
2003,10,"9,48,986","60,935","10,09,921",Seattle
2003,11,"9,08,366","59,098","9,67,464",Seattle
2003,12,"10,21,628","65,938","10,87,566",Seattle
2003,TOTAL,"1,20,12,221","7,39,947","1,27,52,168",Seattle
2004,1,"8,26,236","62,116","8,88,352",Seattle
2004,2,"8,30,863","66,940","8,97,803",Seattle
2004,3,"10,19,667","74,229","10,93,896",Seattle
2004,4,"10,20,371","65,286","10,85,657",Seattle
2004,5,"10,44,235","65,323","11,09,558",Seattle
2004,6,"12,55,642","64,601","13,20,243",Seattle
2004,7,"13,58,887","66,075","14,24,962",Seattle
2004,8,"14,07,725","67,332","14,75,057",Seattle
2004,9,"10,98,903","60,140","11,59,043",Seattle
2004,10,"10,11,453","55,723","10,67,176",Seattle
2004,11,"9,91,698","55,103","10,46,801",Seattle
2004,12,"10,65,771","63,120","11,28,891",Seattle
2004,TOTAL,"1,29,31,451","7,65,988","1,36,97,439",Seattle
2005,1,"8,88,108","61,319","9,49,427",Seattle
2005,2,"8,45,074","61,211","9,06,285",Seattle
2005,3,"10,40,846","69,072","11,09,918",Seattle
2005,4,"10,26,813","60,722","10,87,535",Seattle
2005,5,"10,90,781","58,439","11,49,220",Seattle
2005,6,"12,65,479","57,839","13,23,318",Seattle
2005,7,"13,73,576","59,909","14,33,485",Seattle
2005,8,"14,01,359","58,917","14,60,276",Seattle
2005,9,"11,37,642","55,800","11,93,442",Seattle
2005,10,"10,39,344","57,045","10,96,389",Seattle
2005,11,"10,11,614","55,975","10,67,589",Seattle
2005,12,"10,72,835","62,355","11,35,190",Seattle
2005,TOTAL,"1,31,93,471","7,18,603","1,39,12,074",Seattle
2006,1,"9,17,131","64,114","9,81,245",Seattle
2006,2,"8,86,381","61,431","9,47,812",Seattle
2006,3,"10,75,128","70,388","11,45,516",Seattle
2006,4,"10,66,372","59,189","11,25,561",Seattle
2006,5,"11,47,223","57,371","12,04,594",Seattle
2006,6,"13,23,192","54,745","13,77,937",Seattle
2006,7,"13,89,439","53,455","14,42,894",Seattle
2006,8,"14,12,110","56,986","14,69,096",Seattle
2006,9,"11,44,537","55,094","11,99,631",Seattle
2006,10,"10,67,961","57,369","11,25,330",Seattle
2006,11,"10,34,109","57,686","10,91,795",Seattle
2006,12,"10,88,164","62,392","11,50,556",Seattle
2006,TOTAL,"1,35,51,747","7,10,220","1,42,61,967",Seattle
2007,1,"9,23,729","60,826","9,84,555",Seattle
2007,2,"8,83,775","60,697","9,44,472",Seattle
2007,3,"11,00,412","70,114","11,70,526",Seattle
2007,4,"10,97,420","62,236","11,59,656",Seattle
2007,5,"12,08,808","64,534","12,73,342",Seattle
2007,6,"13,51,479","58,999","14,10,478",Seattle
2007,7,"14,50,863","60,406","15,11,269",Seattle
2007,8,"14,86,319","65,058","15,51,377",Seattle
2007,9,"12,01,184","59,408","12,60,592",Seattle
2007,10,"11,50,933","65,231","12,16,164",Seattle
2007,11,"11,13,100","65,751","11,78,851",Seattle
2007,12,"11,55,161","73,239","12,28,400",Seattle
2007,TOTAL,"1,41,23,183","7,66,499","1,48,89,682",Seattle
