Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2012,9,"1,401",0,"1,401",Boise
2012,10,"1,463",1,"1,464",Boise
2012,11,"1,418",0,"1,418",Boise
2012,12,"1,453",0,"1,453",Boise
2012,TOTAL,"17,444",2,"17,446",Boise
2013,1,"1,392",0,"1,392",Boise
2013,2,"1,296",0,"1,296",Boise
2013,3,"1,527",0,"1,527",Boise
2013,4,"1,428",0,"1,428",Boise
2013,5,"1,462",0,"1,462",Boise
2013,6,"1,509",0,"1,509",Boise
2013,7,"1,556",0,"1,556",Boise
2013,8,"1,542",0,"1,542",Boise
2013,9,"1,388",0,"1,388",Boise
2013,10,"1,451",0,"1,451",Boise
2013,11,"1,470",0,"1,470",Boise
2013,12,"1,572",0,"1,572",Boise
2013,TOTAL,"17,593",0,"17,593",Boise
2014,1,"1,497",0,"1,497",Boise
2014,2,"1,346",0,"1,346",Boise
2014,3,"1,496",0,"1,496",Boise
2014,4,"1,416",0,"1,416",Boise
2014,5,"1,472",0,"1,472",Boise
2014,6,"1,612",0,"1,612",Boise
2014,7,"1,705",0,"1,705",Boise
2014,8,"1,670",0,"1,670",Boise
2014,9,"1,592",0,"1,592",Boise
2014,10,"1,675",0,"1,675",Boise
2014,11,"1,532",0,"1,532",Boise
2014,12,"1,622",0,"1,622",Boise
2014,TOTAL,"18,635",0,"18,635",Boise
2015,1,"1,517",0,"1,517",Boise
2015,2,"1,350",0,"1,350",Boise
2015,3,"1,544",0,"1,544",Boise
2015,4,"1,520",0,"1,520",Boise
2015,5,"1,677",0,"1,677",Boise
2015,6,"1,781",0,"1,781",Boise
2015,7,"1,839",0,"1,839",Boise
2015,8,"1,845",0,"1,845",Boise
2015,9,"1,744",0,"1,744",Boise
2015,10,"1,841",0,"1,841",Boise
2015,11,"1,731",1,"1,732",Boise
2015,12,"1,856",0,"1,856",Boise
2015,TOTAL,"20,245",1,"20,246",Boise
2016,1,"1,832",0,"1,832",Boise
2016,2,"1,672",1,"1,673",Boise
2016,3,"1,823",0,"1,823",Boise
2016,4,"1,728",0,"1,728",Boise
2016,5,"1,837",0,"1,837",Boise
2016,6,"1,933",0,"1,933",Boise
2016,7,"1,978",0,"1,978",Boise
2016,8,"1,976",0,"1,976",Boise
2016,9,"1,868",0,"1,868",Boise
2016,10,"1,964",0,"1,964",Boise
2016,11,"1,844",1,"1,845",Boise
2016,12,"1,943",0,"1,943",Boise
2016,TOTAL,"22,398",2,"22,400",Boise
2017,1,"1,844",0,"1,844",Boise
2017,2,"1,679",0,"1,679",Boise
2017,3,"1,932",0,"1,932",Boise
2017,4,"1,862",0,"1,862",Boise
2017,5,"1,921",0,"1,921",Boise
2017,6,"1,927",0,"1,927",Boise
2017,7,"2,028",0,"2,028",Boise
2017,8,"1,977",0,"1,977",Boise
2017,9,"1,895",0,"1,895",Boise
2017,10,"1,950",0,"1,950",Boise
2017,11,"1,937",0,"1,937",Boise
2017,12,"2,013",1,"2,014",Boise
2017,TOTAL,"22,965",1,"22,966",Boise
2018,1,"1,996",0,"1,996",Boise
2018,2,"1,816",0,"1,816",Boise
2018,3,"2,083",0,"2,083",Boise
2018,4,"2,047",0,"2,047",Boise
2018,5,"2,136",0,"2,136",Boise
2018,6,"2,161",1,"2,162",Boise
