"Passengers (All U.S. Carriers - Philadelphia, PA: Philadelphia International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2011,2,"8,78,945","99,232","9,78,177"
2011,3,"11,35,612","1,37,329","12,72,941"
2011,4,"10,87,043","1,42,814","12,29,857"
2011,5,"11,44,493","1,66,896","13,11,389"
2011,6,"11,60,749","1,66,303","13,27,052"
2011,7,"11,91,778","1,69,823","13,61,601"
2011,8,"11,54,385","1,58,071","13,12,456"
2011,9,"10,40,564","1,39,263","11,79,827"
2011,10,"11,09,540","1,26,348","12,35,888"
2011,11,"10,67,006","1,03,046","11,70,052"
2011,12,"10,59,856","1,12,047","11,71,903"
2011,TOTAL,"1,29,63,448","16,34,203","1,45,97,651"
2012,1,"9,62,301","1,09,407","10,71,708"
2012,2,"9,27,574","1,01,045","10,28,619"
2012,3,"10,92,524","1,45,154","12,37,678"
2012,4,"10,50,078","1,47,996","11,98,074"
2012,5,"10,97,404","1,63,213","12,60,617"
2012,6,"11,17,429","1,71,593","12,89,022"
2012,7,"11,32,311","1,56,331","12,88,642"
2012,8,"11,70,296","1,58,747","13,29,043"
2012,9,"10,01,650","1,37,358","11,39,008"
2012,10,"10,50,837","1,17,924","11,68,761"
2012,11,"10,70,113","1,07,377","11,77,490"
2012,12,"10,25,705","1,15,951","11,41,656"
2012,TOTAL,"1,26,98,222","16,32,096","1,43,30,318"
2013,1,"9,66,537","1,11,975","10,78,512"
2013,2,"9,45,271","1,17,232","10,62,503"
2013,3,"11,17,379","1,45,757","12,63,136"
2013,4,"10,42,395","1,37,839","11,80,234"
2013,5,"11,05,044","1,70,747","12,75,791"
2013,6,"11,22,843","1,83,580","13,06,423"
2013,7,"11,48,232","1,75,095","13,23,327"
2013,8,"11,66,352","1,75,736","13,42,088"
2013,9,"9,99,226","1,39,827","11,39,053"
2013,10,"10,95,178","1,26,418","12,21,596"
2013,11,"9,99,257","1,14,525","11,13,782"
2013,12,"10,45,785","1,17,621","11,63,406"
2013,TOTAL,"1,27,53,499","17,16,352","1,44,69,851"
2014,1,"9,42,728","1,00,287","10,43,015"
2014,2,"8,54,841","94,637","9,49,478"
2014,3,"10,88,010","1,38,538","12,26,548"
2014,4,"11,07,320","1,45,175","12,52,495"
2014,5,"11,41,213","1,73,919","13,15,132"
2014,6,"11,33,551","1,81,259","13,14,810"
2014,7,"11,84,043","1,63,931","13,47,974"
2014,8,"11,86,005","1,82,454","13,68,459"
2014,9,"10,24,989","1,39,298","11,64,287"
2014,10,"11,26,989","1,25,378","12,52,367"
2014,11,"9,84,134","1,04,840","10,88,974"
2014,12,"10,17,305","1,19,121","11,36,426"
2014,TOTAL,"1,27,91,128","16,68,837","1,44,59,965"
2015,1,"8,77,352","1,02,285","9,79,637"
2015,2,"8,84,986","92,284","9,77,270"
2015,3,"10,69,602","1,18,494","11,88,096"
2015,4,"10,79,528","1,41,947","12,21,475"
2015,5,"11,36,860","1,65,002","13,01,862"
2015,6,"11,65,864","1,80,692","13,46,556"
2015,7,"12,59,808","1,74,531","14,34,339"
2015,8,"12,31,296","1,77,161","14,08,457"
2015,9,"10,79,899","1,45,160","12,25,059"
2015,10,"11,65,888","1,27,723","12,93,611"
2015,11,"10,86,035","1,06,051","11,92,086"
2015,12,"10,52,748","1,18,601","11,71,349"
2015,TOTAL,"1,30,89,866","16,49,931","1,47,39,797"
2016,1,"9,02,954","96,288","9,99,242"
2016,2,"8,91,251","84,729","9,75,980"
2016,3,"11,10,274","1,24,263","12,34,537"
2016,4,"10,59,871","1,25,824","11,85,695"
2016,5,"11,30,913","1,44,555","12,75,468"
2016,6,"11,66,600","1,65,372","13,31,972"
2016,7,"11,77,711","1,62,345","13,40,056"
2016,8,"11,73,669","1,54,627","13,28,296"
2016,9,"10,38,613","1,30,569","11,69,182"
2016,10,"10,98,865","1,11,266","12,10,131"
2016,11,"10,08,833","83,669","10,92,502"
2016,12,"9,77,118","1,00,790","10,77,908"
2016,TOTAL,"1,27,36,672","14,84,297","1,42,20,969"
2017,1,"8,90,893","81,378","9,72,271"
2017,2,"8,28,923","69,437","8,98,360"
2017,3,"10,36,182","1,06,276","11,42,458"
2017,4,"10,68,094","1,32,670","12,00,764"
2017,5,"10,95,935","1,54,123","12,50,058"
2017,6,"11,28,715","1,69,812","12,98,527"
2017,7,"11,34,580","1,53,454","12,88,034"
2017,8,"11,46,089","1,57,271","13,03,360"
2017,9,"9,69,853","1,25,542","10,95,395"
2017,10,"11,09,282","1,05,958","12,15,240"
2017,11,"10,53,535","88,792","11,42,327"
