"Passengers (All U.S. Carriers - New York, NY: John F. Kennedy International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2012,2,"8,55,643","3,10,282","11,65,925"
2012,3,"10,52,672","3,96,669","14,49,341"
2012,4,"10,09,278","4,12,314","14,21,592"
2012,5,"10,18,812","4,18,202","14,37,014"
2012,6,"10,64,923","4,90,597","15,55,520"
2012,7,"11,67,626","5,24,102","16,91,728"
2012,8,"11,58,267","5,21,384","16,79,651"
2012,9,"9,45,990","4,04,746","13,50,736"
2012,10,"9,64,615","3,59,322","13,23,937"
2012,11,"9,40,325","3,51,341","12,91,666"
2012,12,"10,10,049","4,16,009","14,26,058"
2012,TOTAL,"1,20,88,573","49,32,766","1,70,21,339"
2013,1,"9,37,083","3,45,566","12,82,649"
2013,2,"8,23,324","3,06,551","11,29,875"
2013,3,"10,46,602","4,09,779","14,56,381"
2013,4,"9,43,975","3,76,219","13,20,194"
2013,5,"10,16,442","4,23,891","14,40,333"
2013,6,"10,46,564","4,95,125","15,41,689"
2013,7,"11,51,275","5,51,724","17,02,999"
2013,8,"11,36,472","5,46,127","16,82,599"
2013,9,"9,20,954","4,09,254","13,30,208"
2013,10,"10,03,247","3,85,488","13,88,735"
2013,11,"9,04,169","3,57,588","12,61,757"
2013,12,"10,38,037","4,49,288","14,87,325"
2013,TOTAL,"1,19,68,144","50,56,600","1,70,24,744"
2014,1,"8,66,387","3,49,858","12,16,245"
2014,2,"8,07,612","3,20,378","11,27,990"
2014,3,"10,10,959","3,85,640","13,96,599"
2014,4,"10,45,589","4,11,166","14,56,755"
2014,5,"10,81,282","4,35,447","15,16,729"
2014,6,"10,97,910","4,98,042","15,95,952"
2014,7,"12,08,117","5,45,433","17,53,550"
2014,8,"12,01,407","5,61,205","17,62,612"
2014,9,"9,78,965","4,10,431","13,89,396"
2014,10,"10,87,714","3,93,779","14,81,493"
2014,11,"9,81,717","3,59,063","13,40,780"
2014,12,"10,98,969","4,58,266","15,57,235"
2014,TOTAL,"1,24,66,628","51,28,708","1,75,95,336"
2015,1,"9,41,285","3,48,310","12,89,595"
2015,2,"8,76,661","3,14,699","11,91,360"
2015,3,"10,75,427","3,82,376","14,57,803"
2015,4,"10,88,856","4,01,113","14,89,969"
2015,5,"11,41,202","4,44,913","15,86,115"
2015,6,"11,59,556","5,11,603","16,71,159"
2015,7,"12,71,834","5,86,546","18,58,380"
2015,8,"12,45,569","5,95,202","18,40,771"
2015,9,"10,19,901","4,36,715","14,56,616"
2015,10,"11,43,591","4,28,512","15,72,103"
2015,11,"10,43,124","3,79,857","14,22,981"
2015,12,"11,29,645","4,83,003","16,12,648"
2015,TOTAL,"1,31,36,651","53,12,849","1,84,49,500"
2016,1,"9,84,000","3,82,287","13,66,287"
2016,2,"9,66,301","3,60,451","13,26,752"
2016,3,"11,65,379","4,39,386","16,04,765"
2016,4,"11,24,187","4,62,267","15,86,454"
2016,5,"11,54,146","4,86,146","16,40,292"
2016,6,"12,16,211","5,66,016","17,82,227"
2016,7,"12,85,653","6,13,995","18,99,648"
2016,8,"12,36,095","6,15,722","18,51,817"
2016,9,"10,32,095","4,52,716","14,84,811"
2016,10,"11,19,211","4,31,105","15,50,316"
2016,11,"10,74,599","3,87,048","14,61,647"
2016,12,"11,44,559","4,83,881","16,28,440"
2016,TOTAL,"1,35,02,436","56,81,020","1,91,83,456"
2017,1,"10,50,476","3,88,910","14,39,386"
2017,2,"9,39,108","3,44,761","12,83,869"
2017,3,"11,40,353","4,11,059","15,51,412"
2017,4,"11,33,813","4,79,466","16,13,279"
2017,5,"11,54,409","4,89,187","16,43,596"
2017,6,"12,02,408","5,78,395","17,80,803"
2017,7,"12,65,132","6,24,672","18,89,804"
2017,8,"12,56,698","6,37,467","18,94,165"
2017,9,"10,04,018","4,50,504","14,54,522"
2017,10,"11,07,668","4,22,721","15,30,389"
2017,11,"10,63,833","3,81,574","14,45,407"
2017,12,"11,13,334","4,77,320","15,90,654"
2017,TOTAL,"1,34,31,250","56,86,036","1,91,17,286"
2018,1,"9,77,889","3,67,845","13,45,734"
2018,2,"9,58,839","3,55,497","13,14,336"
2018,3,"11,61,846","4,40,984","16,02,830"
2018,4,"11,43,442","4,49,250","15,92,692"
2018,5,"12,10,986","4,99,154","17,10,140"
2018,6,"12,58,990","5,72,443","18,31,433"
2018,7,"13,56,877","6,15,329","19,72,206"
2018,8,"13,28,917","6,19,212","19,48,129"
2018,9,"10,84,263","4,66,275","15,50,538"
2018,10,"12,05,626","4,51,000","16,56,626"
2018,11,"11,44,410","4,05,814","15,50,224"
2018,12,"11,96,226","4,85,989","16,82,215"
2018,TOTAL,"1,40,28,311","57,28,792","1,97,57,103"
2019,1,"10,67,908","4,05,860","14,73,768"
2019,2,"9,96,557","3,78,374","13,74,931"
2019,3,"12,19,513","4,71,177","16,90,690"
2019,4,"11,97,290","4,81,434","16,78,724"
2019,5,"12,35,854","5,23,883","17,59,737"
2019,6,"12,53,067","6,01,696","18,54,763"
2019,7,"13,05,703","6,42,765","19,48,468"
2019,8,"12,67,615","6,58,836","19,26,451"
2019,9,"10,95,455","4,83,786","15,79,241"
2019,10,"11,68,170","4,69,200","16,37,370"
2019,11,"10,80,560","4,27,974","15,08,534"
2019,12,"12,03,555","5,30,700","17,34,255"
2019,TOTAL,"1,40,91,247","60,75,685","2,01,66,932"
2020,1,"10,50,504","4,56,804","15,07,308"
2020,2,"10,05,421","4,15,575","14,20,996"
2020,3,"5,32,756","1,92,134","7,24,890"
2020,4,"23,103",492,"23,595"
2020,5,"49,571","1,092","50,663"
2020,6,"1,33,339","9,099","1,42,438"
2020,7,"1,57,394","94,114","2,51,508"
2020,8,"1,87,179","1,00,367","2,87,546"
2020,9,"1,87,735","88,190","2,75,925"
2020,10,"2,49,352","1,13,312","3,62,664"
2020,11,"2,48,019","1,22,999","3,71,018"
2020,12,"2,84,730","1,95,554","4,80,284"
2020,TOTAL,"41,09,103","17,89,732","58,98,835"
2021,1,"2,65,285","1,28,911","3,94,196"
2021,2,"2,79,053","1,20,668","3,99,721"
2021,3,"4,28,924","1,80,240","6,09,164"
2021,4,"5,21,103","1,99,996","7,21,099"
2021,5,"7,44,316","2,72,967","10,17,283"
2021,6,"8,73,262","3,69,717","12,42,979"
2021,7,"10,11,569","4,58,287","14,69,856"
2021,8,"9,80,404","4,30,065","14,10,469"
2021,9,"8,10,918","3,16,070","11,26,988"
2021,10,"8,99,290","3,17,010","12,16,300"
2021,11,"10,53,625","3,49,871","14,03,496"
2021,12,"10,70,628","4,64,671","15,35,299"
2021,TOTAL,"89,38,377","36,08,473","1,25,46,850"
2022,1,"7,70,258","3,26,711","10,96,969"
2022,2,"8,83,995","3,57,097","12,41,092"
2022,3,"11,72,248","4,54,963","16,27,211"
2022,4,"11,91,005","5,04,176","16,95,181"
2022,5,"12,32,954","5,35,038","17,67,992"
2022,6,"12,41,656","6,42,743","18,84,399"
2022,7,"13,28,544","6,74,036","20,02,580"
2022,8,"12,69,870","6,59,724","19,29,594"
2022,9,"11,85,303","5,49,925","17,35,228"
2022,10,"12,95,919","5,42,200","18,38,119"
2022,11,"12,06,200","5,25,321","17,31,521"
2022,12,"11,86,313","6,26,837","18,13,150"
2022,TOTAL,"1,39,64,265","63,98,771","2,03,63,036"
2023,1,"10,75,433","5,26,358","16,01,791"
2023,2,"10,13,352","4,88,308","15,01,660"
2023,3,"12,62,155","6,01,037","18,63,192"
2023,4,"12,23,697","6,21,722","18,45,419"
2023,5,"12,82,677","6,54,916","19,37,593"
2023,6,"12,23,823","7,12,719","19,36,542"
2023,7,"12,77,091","7,42,672","20,19,763"
2023,TOTAL,"83,58,228","43,47,732","1,27,05,960"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
