"Passengers (All Carriers - Kansas City, MO: Kansas City International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2015,1,"339,746","3,831","343,577"
2015,2,"328,293","3,564","331,857"
2015,3,"417,840","3,129","420,969"
2015,4,"415,344","2,496","417,840"
2015,5,"472,217","1,834","474,051"
2015,6,"472,139","2,250","474,389"
2015,7,"494,268","2,303","496,571"
2015,8,"428,154","1,374","429,528"
2015,9,"421,933","1,156","423,089"
2015,10,"461,240","1,233","462,473"
2015,11,"422,658","1,072","423,730"
2015,12,"418,442","1,136","419,578"
2015,TOTAL,"5,092,274","25,378","5,117,652"
2016,1,"372,160","1,006","373,166"
2016,2,"355,686",835,"356,521"
2016,3,"437,835","1,780","439,615"
2016,4,"426,691","1,922","428,613"
2016,5,"493,831","2,704","496,535"
2016,6,"492,352","3,967","496,319"
2016,7,"511,147","4,063","515,210"
2016,8,"444,613","2,686","447,299"
2016,9,"453,941","2,508","456,449"
2016,10,"468,865","2,094","470,959"
2016,11,"451,729","1,911","453,640"
2016,12,"440,191","1,915","442,106"
2016,TOTAL,"5,349,041","27,391","5,376,432"
2017,1,"377,494","2,194","379,688"
2017,2,"369,873","2,047","371,920"
2017,3,"484,090","2,571","486,661"
2017,4,"448,460","2,457","450,917"
2017,5,"516,238","2,400","518,638"
2017,6,"519,584","3,109","522,693"
2017,7,"532,190","3,468","535,658"
2017,8,"479,847","1,937","481,784"
2017,9,"446,118","1,250","447,368"
2017,10,"500,543","1,860","502,403"
2017,11,"465,946","2,330","468,276"
2017,12,"445,169","4,511","449,680"
2017,TOTAL,"5,585,552","30,134","5,615,686"
2018,1,"389,774","4,195","393,969"
2018,2,"373,159","4,364","377,523"
2018,3,"487,397","5,651","493,048"
2018,4,"456,697","2,764","459,461"
2018,5,"528,169","2,841","531,010"
2018,6,"540,338","4,645","544,983"
2018,7,"544,072","3,907","547,979"
2018,8,"491,760","3,071","494,831"
2018,9,"461,593","2,683","464,276"
2018,10,"523,291","1,294","524,585"
2018,11,"478,282","1,554","479,836"
2018,12,"463,788","2,789","466,577"
2018,TOTAL,"5,738,320","39,758","5,778,078"
2019,1,"399,600","3,393","402,993"
2019,2,"384,082","3,279","387,361"
2019,3,"491,535","3,838","495,373"
2019,4,"452,204","2,772","454,976"
2019,5,"531,271","2,840","534,111"
2019,6,"537,431","4,612","542,043"
2019,7,"548,587","3,745","552,332"
2019,8,"484,468","4,065","488,533"
2019,9,"462,311","2,024","464,335"
2019,10,"516,620","1,327","517,947"
2019,11,"440,029","1,121","441,150"
2019,12,"465,105","1,278","466,383"
2019,TOTAL,"5,713,243","34,294","5,747,537"
2020,1,"390,075","2,744","392,819"
2020,2,"390,529","2,824","393,353"
2020,3,"217,898","1,480","219,378"
2020,4,"16,911",,"16,911"
2020,5,"54,104",,"54,104"
2020,6,"116,393",,"116,393"
2020,7,"158,359",,"158,359"
2020,8,"153,372",,"153,372"
2020,9,"150,779",,"150,779"
2020,10,"172,664",18,"172,682"
2020,11,"163,123",,"163,123"
2020,12,"169,735",302,"170,037"
2020,TOTAL,"2,153,942","7,368","2,161,310"
2021,1,"140,759",619,"141,378"
2021,2,"146,963","1,485","148,448"
2021,3,"236,853","2,221","239,074"
2021,4,"254,969",482,"255,451"
2021,5,"336,480",510,"336,990"
2021,6,"388,902","1,333","390,235"
2021,7,"441,580","1,320","442,900"
2021,8,"355,371",329,"355,700"
2021,9,"351,412",,"351,412"
2021,10,"385,969",,"385,969"
2021,11,"377,569","1,181","378,750"
2021,12,"359,622","2,476","362,098"
2021,TOTAL,"3,776,449","11,956","3,788,405"
2022,1,"279,105","3,098","282,203"
2022,2,"291,701","3,202","294,903"
2022,3,"376,327","3,283","379,610"
2022,4,"374,309","1,867","376,176"
2022,5,"439,314","1,013","440,327"
2022,6,"447,741","2,731","450,472"
2022,7,"450,201","2,504","452,705"
2022,8,"408,298","1,928","410,226"
2022,9,"426,023","1,751","427,774"
2022,10,"460,296","1,747","462,043"
2022,11,"424,922","1,945","426,867"
2022,12,"379,055","3,658","382,713"
2022,TOTAL,"4,757,292","28,727","4,786,019"
2023,1,"364,739","4,355","369,094"
2023,2,"358,395","4,314","362,709"
2023,3,"455,793","4,661","460,454"
2023,4,"437,769","3,589","441,358"
2023,5,"510,210","3,871","514,081"
2023,6,"524,960","4,998","529,958"
2023,7,"547,824","5,651","553,475"
2023,TOTAL,"3,199,690","31,439","3,231,129"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
