Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Dallas/Fort Worth - Greater (Current $),Dallas/Fort Worth - Greater (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Current $),Dallas-Fort Worth -  TX (Inflation-Adjusted $)
"2019","3","345.09","409.06","378.34","448.47","395.57","468.90"
"2019","4","356.51","421.70","381.05","450.72","401.39","474.78"
"2020","1","336.00","395.78","377.29","444.42","400.52","471.78"
"2020","2","259.12","306.88","267.92","317.30","288.03","341.11"
"2020","3","244.71","286.57","251.48","294.49","263.12","308.12"
"2020","4","260.67","304.56","260.18","303.98","269.52","314.90"
"2021","1","260.20","300.78","259.74","300.25","273.13","315.73"
"2021","2","299.79","338.62","299.31","338.08","313.25","353.82"
"2021","3","314.07","349.17","313.45","348.47","328.70","365.43"
"2021","4","327.14","358.25","322.91","353.62","338.06","370.22"
"2022","1","328.49","351.71","340.98","365.07","359.82","385.25"
"2022","2","397.16","412.94","412.24","428.62","434.42","451.68"
"2022","3","382.54","392.58","406.92","417.60","431.90","443.23"
"2022","4","393.85","402.71","414.21","423.53","440.45","450.36"
"2023","1","381.55","386.10","407.59","412.45","430.12","435.25"
"2023","2","391.79","391.79","407.73","407.73","423.78","423.78"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
