"Passengers (All U.S. Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2021,7,"29,51,556","3,23,388","32,74,944"
2021,8,"24,79,063","2,11,903","26,90,966"
2021,9,"23,69,962","1,77,169","25,47,131"
2021,10,"26,13,602","2,09,859","28,23,461"
2021,11,"25,46,818","2,27,131","27,73,949"
2021,12,"25,52,614","2,98,301","28,50,915"
2021,TOTAL,"2,70,92,416","25,17,810","2,96,10,226"
2022,1,"20,28,768","2,04,490","22,33,258"
2022,2,"18,32,576","1,88,443","20,21,019"
2022,3,"25,37,270","2,90,785","28,28,055"
2022,4,"25,71,565","3,08,372","28,79,937"
2022,5,"28,06,091","3,58,350","31,64,441"
2022,6,"28,34,135","4,17,169","32,51,304"
2022,7,"28,38,079","4,25,929","32,64,008"
2022,8,"26,60,701","3,36,028","29,96,729"
2022,9,"26,42,419","3,05,644","29,48,063"
2022,10,"27,80,354","3,21,483","31,01,837"
2022,11,"25,12,839","3,18,337","28,31,176"
2022,12,"25,80,993","3,71,568","29,52,561"
2022,TOTAL,"3,06,25,790","38,46,598","3,44,72,388"
2023,1,"23,26,242","3,09,072","26,35,314"
2023,2,"22,91,815","2,85,777","25,77,592"
2023,3,"27,26,152","3,42,375","30,68,527"
2023,4,"26,89,169","3,09,378","29,98,547"
2023,5,"29,71,637","3,58,045","33,29,682"
2023,6,"31,05,206","4,48,330","35,53,536"
2023,7,"31,69,886","4,46,137","36,16,023"
2023,TOTAL,"1,92,80,107","24,99,114","2,17,79,221"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
